epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,73.725,1.33627,1.22784,1.27977,0.76911,0.53418,0.64193,0.38176,1.68907,1.58905,1.59344,0.0445046,0.00050456,0.00050456
4,96.9696,1.29412,1.1001,1.24951,0.53612,0.63621,0.62273,0.37167,1.71439,1.64267,1.6173,0.0256386,0.000638625,0.000638625
5,123.202,1.33552,1.11666,1.25219,0.74177,0.61631,0.68672,0.41771,1.67382,1.56058,1.60762,0.00675388,0.00075388,0.00075388
6,145.173,1.34963,1.1229,1.29036,0.73,0.58275,0.66892,0.41625,1.67084,1.53095,1.6366,0.0007525,0.0007525,0.0007525
7,165.332,1.31775,1.10239,1.26999,0.68792,0.58501,0.64239,0.40187,1.66702,1.56574,1.60365,0.000703,0.000703,0.000703
8,187.754,1.31087,1.13573,1.26204,0.75027,0.63217,0.72253,0.44706,1.65307,1.31239,1.57093,0.0006535,0.0006535,0.0006535
9,208.801,1.28705,1.07441,1.2607,0.76352,0.60607,0.68237,0.4354,1.61744,1.36852,1.56973,0.000604,0.000604,0.000604
10,229.729,1.27281,1.07233,1.24211,0.64952,0.69534,0.69499,0.45694,1.6318,1.2769,1.55776,0.0005545,0.0005545,0.0005545
11,257.305,1.30687,1.06982,1.28772,0.75404,0.61198,0.69613,0.4521,1.64915,1.43777,1.60606,0.000505,0.000505,0.000505
12,278.76,1.26405,1.01444,1.27951,0.77621,0.59876,0.7,0.45433,1.62629,1.36868,1.54339,0.0004555,0.0004555,0.0004555
13,297.226,1.29161,0.9639,1.28388,0.66946,0.66878,0.70012,0.45357,1.62182,1.33837,1.53917,0.000406,0.000406,0.000406
14,317.879,1.25829,0.97884,1.28476,0.75497,0.6273,0.72582,0.46663,1.58719,1.28296,1.51783,0.0003565,0.0003565,0.0003565
15,338.179,1.22325,0.92882,1.25866,0.73833,0.68972,0.7266,0.47021,1.57831,1.23471,1.5316,0.000307,0.000307,0.000307
16,357.921,1.2408,0.8746,1.25937,0.76167,0.6452,0.71451,0.46504,1.61284,1.31218,1.57572,0.0002575,0.0002575,0.0002575
17,376.829,1.19581,0.83436,1.22087,0.79113,0.67759,0.7402,0.48589,1.581,1.19142,1.53093,0.000208,0.000208,0.000208
18,399.306,1.20044,0.8516,1.23316,0.81933,0.66682,0.75482,0.48953,1.54459,1.13099,1.48894,0.0001585,0.0001585,0.0001585
19,417.551,1.17205,0.79775,1.20346,0.83235,0.67231,0.75919,0.50205,1.52539,1.13048,1.48123,0.000109,0.000109,0.000109
20,438.318,1.14596,0.76308,1.19384,0.79954,0.70273,0.77694,0.50807,1.5276,1.11497,1.48132,5.95e-05,5.95e-05,5.95e-05
1,33.4989,1.30276,1.12924,1.27303,0.7023,0.37681,0.41656,0.26143,1.85469,2.61755,1.73299,0.08218,0.00018,0.00018
2,71.4719,1.31009,1.16863,1.25967,0.65083,0.49983,0.55608,0.33881,1.77336,2.03486,1.6463,0.0633517,0.000351685,0.000351685
3,97.4773,1.33627,1.22784,1.27977,0.76911,0.53418,0.64193,0.38176,1.68907,1.58905,1.59344,0.0445046,0.00050456,0.00050456
4,119.754,1.29412,1.1001,1.24951,0.53612,0.63621,0.62273,0.37167,1.71439,1.64267,1.6173,0.0256386,0.000638625,0.000638625
5,141.603,1.33552,1.11666,1.25219,0.74177,0.61631,0.68672,0.41771,1.67382,1.56058,1.60762,0.00675388,0.00075388,0.00075388
6,162.129,1.34963,1.1229,1.29036,0.73,0.58275,0.66892,0.41625,1.67084,1.53095,1.6366,0.0007525,0.0007525,0.0007525
7,183.807,1.31775,1.10239,1.26999,0.68792,0.58501,0.64239,0.40187,1.66702,1.56574,1.60365,0.000703,0.000703,0.000703
8,203.802,1.31087,1.13573,1.26204,0.75027,0.63217,0.72253,0.44706,1.65307,1.31239,1.57093,0.0006535,0.0006535,0.0006535
9,224.389,1.28705,1.07441,1.2607,0.76352,0.60607,0.68237,0.4354,1.61744,1.36852,1.56973,0.000604,0.000604,0.000604
10,245.817,1.27281,1.07233,1.24211,0.64952,0.69534,0.69499,0.45694,1.6318,1.2769,1.55776,0.0005545,0.0005545,0.0005545
11,274.528,1.30687,1.06982,1.28772,0.75404,0.61198,0.69613,0.4521,1.64915,1.43777,1.60606,0.000505,0.000505,0.000505
12,294.906,1.26405,1.01444,1.27951,0.77621,0.59876,0.7,0.45433,1.62629,1.36868,1.54339,0.0004555,0.0004555,0.0004555
13,315.87,1.29161,0.9639,1.28388,0.66946,0.66878,0.70012,0.45357,1.62182,1.33837,1.53917,0.000406,0.000406,0.000406
14,335.846,1.25829,0.97884,1.28476,0.75497,0.6273,0.72582,0.46663,1.58719,1.28296,1.51783,0.0003565,0.0003565,0.0003565
15,356.308,1.22325,0.92882,1.25866,0.73833,0.68972,0.7266,0.47021,1.57831,1.23471,1.5316,0.000307,0.000307,0.000307
16,376.154,1.2408,0.8746,1.25937,0.76167,0.6452,0.71451,0.46504,1.61284,1.31218,1.57572,0.0002575,0.0002575,0.0002575
17,395.299,1.19581,0.83436,1.22087,0.79113,0.67759,0.7402,0.48589,1.581,1.19142,1.53093,0.000208,0.000208,0.000208
18,416.985,1.20044,0.8516,1.23316,0.81933,0.66682,0.75482,0.48953,1.54459,1.13099,1.48894,0.0001585,0.0001585,0.0001585
19,435.567,1.17205,0.79775,1.20346,0.83235,0.67231,0.75919,0.50205,1.52539,1.13048,1.48123,0.000109,0.000109,0.000109
20,455.22,1.14596,0.76308,1.19384,0.79954,0.70273,0.77694,0.50807,1.5276,1.11497,1.48132,5.95e-05,5.95e-05,5.95e-05
